Brand,Model,Type,Manufactured_year,Distance(km),Engine(cc),Price
Bajaj,Bajaj Pulsar 150 2021,Motorbikes,2021,5000,150,150000
Bajaj,Bajaj Pulsar 150 DD ON-TEST 2022,Motorbikes,2022,4012,150,166362
Bajaj,Bajaj Pulsar 150 . 2016,Motorbikes,2016,5000,150,145000
Bajaj,Bajaj Pulsar 150 DD ABS ON-TEST 2022,Motorbikes,2022,5829,150,177250
Bajaj,Bajaj Pulsar 150 . 2012,Motorbikes,2012,70000,150,62000
Bajaj,Bajaj Pulsar 150 2018,Motorbikes,2018,16100,150,145000
Bajaj,Bajaj Discover 125 . 2022,Motorbikes,2022,9000,125,118500
Bajaj,Bajaj Pulsar 2018,Motorbikes,2018,7852,150,135000
Bajaj,Bajaj Pulsar 2018,Motorbikes,2018,23216,150,135000
Bajaj,Bajaj Discover 100 . 2022,Motorbikes,2022,14000,110,115000
Bajaj,Bajaj Discover 125 . 2022,Motorbikes,2022,9000,125,118500
Bajaj,Bajaj Discover 125 . 2021,Motorbikes,2021,20460,125,130000
Bajaj,Bajaj Discover 125 . 2022,Motorbikes,2022,15000,125,117000
Bajaj,Bajaj Pulsar 150  2020,Motorbikes,2020,12500,150,140000
Bajaj,Bajaj Pulsar 150 . 2017,Motorbikes,2017,4000,150,115000
Bajaj,Bajaj Platina 2013,Motorbikes,2013,64000,110,61000
Bajaj,Bajaj Pulsar 150 2013,Motorbikes,2013,15000,150,90000
Bajaj,Bajaj Pulsar . 2013,Motorbikes,2013,33000,150,67500
Bajaj,Bajaj Discover 135 . 2011,Motorbikes,2011,50,135,100000
Bajaj,Bajaj V15  2018,Motorbikes,2018,20000,150,105000
Bajaj,Bajaj Platina 2015,Motorbikes,2015,8000,100,65000
Bajaj,Bajaj Discover 135 . 2010,Motorbikes,2010,15000,135,69999
Bajaj,Bajaj Pulsar 150 . 2017,Motorbikes,2017,27000,150,65000
Bajaj,Bajaj Pulsar NS 2019,Motorbikes,2019,16400,150,140000
Bajaj,Bajaj Pulsar 150 . 2023,Motorbikes,2023,7135,150,170000
Bajaj,Bajaj Pulsar 150 2020,Motorbikes,2020,22000,150,130000
Bajaj,Bajaj Pulsar 150 . 2018,Motorbikes,2018,47617,150,130000
Bajaj,Bajaj Pulsar 150 2023,Motorbikes,2023,7050,150,170000
Bajaj,Bajaj Pulsar NS 160 Dual Abs 2023,Motorbikes,2023,2700,160,247000
Bajaj,Bajaj Pulsar 150 . 2009,Motorbikes,2009,190000,150,50000
Bajaj,Bajaj Discover ` 2022,Motorbikes,2022,5400,110,129500
Bajaj,Bajaj Pulsar 150 . 2015,Motorbikes,2015,82529,150,108000
Bajaj,Bajaj Discover 135 . 2010,Motorbikes,2010,52,135,130000
Bajaj,Bajaj Pulsar 150 . 2022,Motorbikes,2022,12000,150,165000
Bajaj,Bajaj Platina . 2015,Motorbikes,2015,37000,100,35000
Bajaj,Bajaj Discover 125 . 2017,Motorbikes,2017,18683,125,85000
Bajaj,Bajaj Discover 125 . 2021,Motorbikes,2021,24000,125,110000
Bajaj,Bajaj Pulsar 150 . 2023,Motorbikes,2023,8000,150,180000
Bajaj,Bajaj Discover 125 . 2019,Motorbikes,2019,27000,125,122000
Bajaj,Bajaj Pulsar 150 . 2017,Motorbikes,2017,33000,150,115000
Bajaj,Bajaj Pulsar 150 . 2011,Motorbikes,2011,47900,150,90000
Bajaj,Bajaj CT 100 2007,Motorbikes,2007,62000,100,37000
Bajaj,Bajaj Pulsar 150 2012,Motorbikes,2012,80000,150,95000
